id,host_since,tempoHost,review_scores_rating,price$,diferencaUltimoReview,binTempo
9117633,2014-08-15,2,NULL,250.0,NULL,host_medio
9158383,2015-02-21,1,NULL,69.0,NULL,host_novo
1145590,2012-11-12,4,76.0,400.0,1,host_antigo
5020848,2014-11-09,2,NULL,150.0,NULL,host_medio
9600159,2014-11-21,2,NULL,200.0,NULL,host_medio
3522409,2014-04-01,2,94.0,141.0,0,host_medio
9492873,2015-10-14,1,100.0,85.0,0,host_novo
5534463,2014-08-11,2,98.0,775.0,0,host_medio
9409233,2015-11-11,1,NULL,195.0,NULL,host_novo
9531265,2011-01-06,5,NULL,249.0,NULL,host_antigo
5364609,2014-05-06,2,97.0,95.0,0,host_medio
6629132,2015-05-31,1,100.0,122.0,0,host_novo
5489676,2015-02-24,1,100.0,170.0,0,host_novo
9347157,2015-11-08,1,100.0,65.0,0,host_novo
10035644,2013-02-27,3,NULL,90.0,NULL,host_medio
8293287,2010-11-22,6,98.0,88.0,0,host_antigo
910784,2012-03-02,4,95.0,125.0,2,host_antigo
7071222,2011-08-08,5,93.0,145.0,0,host_antigo
8687716,2013-09-20,3,100.0,275.0,0,host_medio
7430679,2015-07-19,1,94.0,60.0,0,host_novo
180939,2011-07-25,5,94.0,95.0,4,host_antigo
6884604,2011-11-16,5,88.0,140.0,0,host_antigo
7397476,2011-06-28,5,97.0,250.0,0,host_antigo
1063855,2011-07-25,5,95.0,225.0,2,host_antigo
8865006,2014-08-26,2,NULL,60.0,NULL,host_medio
8069192,2012-03-21,4,NULL,95.0,NULL,host_antigo
2800448,2013-09-03,3,94.0,65.0,0,host_medio
9076287,2014-06-19,2,100.0,78.0,0,host_medio
7462439,2013-06-01,3,80.0,59.0,0,host_medio
8225635,2011-06-28,5,NULL,400.0,NULL,host_antigo
2966415,2014-05-05,2,90.0,55.0,1,host_medio
4639465,2014-01-23,2,98.0,129.0,1,host_medio
7402190,2014-09-24,2,96.0,65.0,0,host_medio
9448719,2015-11-13,1,NULL,175.0,NULL,host_novo
5670781,2013-03-11,3,100.0,160.0,0,host_medio
1905473,2013-11-08,3,88.0,75.0,1,host_medio
7266662,2011-02-18,5,98.0,80.0,0,host_antigo
9095510,2014-06-19,2,NULL,109.0,NULL,host_medio
7401854,2014-09-24,2,94.0,95.0,0,host_medio
5174876,2015-01-26,1,98.0,85.0,0,host_novo
1256883,2013-02-28,3,89.0,99.0,2,host_medio
8072850,2013-09-29,3,100.0,90.0,0,host_medio
